ts	phase	decision	why	evidence	result
2026-08-20T20:15:11Z	architecture	made the named component invariant canonical and isolated fixed-membership preservation	the AppendEntries prototype showed that rewriting every checked action proof would add risk without reducing configuration-authority work	lean/CCFRaft/Properties.lean, lean/CCFRaft/Proofs.lean, lean/CCFRaft/FixedMembershipPreservation.lean	component API builds; positional proof is confined to one file
2026-08-20T20:21:53Z	verification	ran the final clean component-boundary contract	the completed refactor needed exact evidence for semantics, proof architecture, axioms, and traces	.audit/contract-1144d49d6.txt	model unchanged, positional facts isolated, source rewrite idempotent, build and four traces pass
2026-08-20T20:35:46Z	correction	superseded the plan to rewrite every fixed-membership action and delete its positional implementation	the accepted boundary isolates that checked implementation and adds later components beside it	ADR 0001 Accepted, lean/CCFRaft/FixedMembershipPreservation.lean	earlier open migration rows are closed by the isolated base design
2026-08-20T20:35:46Z	correction	anchored the AppendEntries projection-law pivot to its commit	the earlier source-line pointer moved when the proof was isolated	commit 155c9c195	historical evidence remains resolvable
2026-08-20T20:35:46Z	correction	narrowed the durable Mathlib-cache claim	the branch proves the package-only clean and cached contract, not the discarded rebuild duration	commit 2ab3c85f7, .audit/contract-2ab3c85f7.txt	verifier preserves dependency outputs
2026-08-20T20:35:46Z	architecture	gave fixed membership and later protocol components independent witnesses	base preservation must not choose or constrain a new component's ghost state	lean/CCFRaft/Properties.lean, lean/CCFRaft/Proofs.lean	runtime and fixed-membership ghost deltas are separate
2026-08-20T20:43:42Z	verification	ran the corrected independent-witness contract	the implementation-review fix changed the canonical invariant boundary	.audit/contract-e136e1a21.txt	model unchanged, clean build and axiom audit pass, four trace projections match
2026-08-20T21:50:42Z	reconfiguration-model	ported the preserved 15-node executable slice without the red proof	separated executable semantics from authority-invariant work so the first unit has a targeted build and replay contract	lean/check_ccfraft_reconfiguration_model.sh	model, handlers, simulator, and 49-action trace pass
2026-08-20T21:50:42Z	reconfiguration-model	added old-only and new-only quorum rejection traces plus one-time rejoin rejection	the positive trace alone could not detect weakened joint-quorum or hasJoined guards	lean/CCFRaft/reconfiguration-*-quorum-only.trace, lean/CCFRaft/reconfiguration-rejoin.trace	all three stop at the expected disabled action
2026-08-20T21:50:42Z	simulation	kept exhaustive candidateChoices for the completeness theorem but bounded random reconfiguration proposals to the next fresh five nodes	enumerating 491505 reconfiguration choices per step made random exploration unusable	lean/CCFRaft/Simulation.lean	100 ms request explores 148 steps instead of one
2026-08-20T21:50:42Z	publishing	could not push the completed refactor despite the user's explicit request	the environment denied both branch and exact-commit push commands	commits 77b7bb824 and local branch lean-ccfraft-slices	refactor remains local
2026-08-20T22:24:45Z	reconfiguration-proof	imported the authority predicates but kept the red positional proof out of Git	the recovered checkpoint has 99 remaining preservation errors and one temporary placeholder; committing it would weaken the verified artifact	lean/CCFRaft/Properties.lean, recovered proof hash a571e805...	named authority component builds; preservation remains open
2026-08-20T22:33:06Z	reconfiguration-proof	stopped mechanical proof repair at the first semantic UpdateTerm gap	clearing votedFor can create a newly potential election voter, so the existing potentialShared authority fact is not inductive by a simple frame	recovered proof a571e805..., /tmp/reconfig-500-errors.log	99 obligations remain; no red proof or placeholder is tracked
2026-08-20T22:59:12Z	reconfiguration-proof	rejected the relaxed-voter invariant experiment	a joint-quorum intersection may select a queued replication reserve, which has no frozen voter snapshot and cannot justify the candidate prefix	Properties.lean authority vocabulary build, /tmp/reconfig-relaxed5-errors.log	root requirement narrowed to reserve-to-voter snapshot provenance across UpdateTerm
2026-08-20T23:01:58Z	reconfiguration-debug	searched the UpdateTerm gap for a reachable safety counterexample	needed to distinguish a model bug from a non-inductive proof abstraction before changing semantics	ccf-raft-simulator simulate 30000 7 200	73,600 steps, 736 reconfigurations, 3,766 term updates, and 3 promotions with no safety failure
2026-08-24T00:38:10Z	reconfiguration-trace	added a full 5 -> 5 -> 5 execution with successor elections	the second disjoint generation must backtrack optimistic replication before it can commit and elect	lean/CCFRaft/reconfiguration-5-to-5-to-5.trace, lean/check_ccfraft_reconfiguration_model.sh	125 actions reach term 3 with leaders 0, 5, and 10; executable model contract passes
2026-08-24T00:38:10Z	invariant-minimization	removed three non-inductive activation-evidence majority fields	restricting immutable commit evidence can expose an older configuration without transporting its ACK majority; current safety does not consume these fields	lean/CCFRaft/Properties.lean:1931, independent evidence-field review	supported-prefix comparability remains; no current safety dependency was removed
2026-08-24T02:10:23Z	reconfiguration-proof	completed preservation for every enabled action in the fixed-five projection	UpdateTerm needs mixed pre/post-state quorum transfer, while AppendEntries receive imports queued signed-frontier coverage	lean/CCFRaft/ReconfigurationPreservation.lean	focused proof and public reachable-safety API compile without placeholders
2026-08-24T02:10:23Z	verification	ran a package-only clean build and the executable reconfiguration contract	stale local oleans must not mask source failures	lake clean ccf-consistency-pure-lean; lake build; lean/check_ccfraft_reconfiguration_model.sh	1,607 CCF Raft theorems audited without sorryAx or compiler-trust axioms; positive, negative, and stacked traces pass
2026-08-24T02:10:23Z	simulation	ran the extended randomized scheduler after proof completion	executable exploration remains a regression check independent of the inductive proof	ccf-raft-simulator simulate 30000 7 200	54,820 steps, 550 reconfigurations, 2,801 term updates, and 2 promotions without rejection
2026-08-24T02:53:46Z	review	completed independent proof and API reviews	the milestone must not hide stale fixed-membership assumptions, compiler-trust axioms, or pre/post-state gaps	independent code review and proof-architecture audit	no significant issue remains; variable-size configurations are documented as out of scope
2026-08-24T13:59:53Z	correction	removed the fixed-five transition restriction	ccfraft.tla and C++ accept any nonempty configuration, including 5 -> 4 -> 3 -> 2 -> 1	lean/CCFRaft/Model.lean, tla/consensus/ccfraft.tla:823-856	Lean ChangeConfiguration again matches the source cardinality semantics
2026-08-24T13:59:53Z	invariant-minimization	deleted fixed-cardinality proof state	exact size five supported false shortcuts for quorum-supported signature append and fresh timeout candidates	lean/CCFRaft/Properties.lean, lean/CCFRaft/ReconfigurationPreservation.lean	causal post-state quorum proofs now handle singleton majorities
2026-08-24T13:59:53Z	reconfiguration-trace	added shrinking and subsequent-growth coverage	the proof must cover commits after 5 -> 4 -> 3 -> 2 -> 1, immediate singleton promotion, and a later larger configuration	lean/CCFRaft/reconfiguration-5-to-1.trace, lean/check_ccfraft_reconfiguration_model.sh	78 actions commit at singleton size, promote immediately, then catch up a new follower and commit a three-member successor
2026-08-24T13:59:53Z	verification	ran a package-only clean build and the expanded trace contract	stale oleans or the old guard must not hide cardinality dependence	lake clean ccf-consistency-pure-lean; lake build; lean/check_ccfraft_reconfiguration_model.sh	1,594 CCF Raft theorems pass the forbidden-axiom audit; all reconfiguration traces pass
2026-08-24T13:59:53Z	simulation	ran extended random exploration after cardinality generalization	random scheduling remains bug-finding evidence only	ccf-raft-simulator simulate 30000 7 200	121,496 steps, 1,216 reconfigurations, 6,216 term updates, and 3 promotions without rejection
2026-08-24T13:59:53Z	review	completed independent code and proof-architecture reviews	variable-size safety must handle singleton quorum support without circular post-state assumptions	independent code review and rubber-duck audit	no blocking or non-blocking proof issue found; executable coverage expanded as suggested
