ts	phase	decision	why	evidence	result
2026-08-21T00:59:22Z	nonvacuity	built a runtime-offset native 5-to-5-to-5 replay harness and stopped it during the first configuration	the function-valued state representation remained too slow for the full 309-action replay even after periodic snapshots	/root/.copilot/session-state/8c2f48a2-8523-43ed-ae57-7bce6e511df0/files/replay/Main.lean	INCONCLUSIVE; trace is defined but full execution is not verified
2026-08-21T00:59:22Z	proof-boundary	left FullInductivenessObligation unproved and added AppendEntriesResponseBoundInv as the smallest identified missing invariant	the checked forged-ACK countermodel invalidates a state-only MatchIndexBoundedByLogInv preservation argument	lean/CCFRaft/Properties.lean:93, lean/CCFRaft/Properties.lean:116	blocked on causal message evidence
2026-08-21T00:59:22Z	axiom-audit	printed axioms for every exported checkpoint theorem and the checked countermodel	the completion rules require an explicit audit before handoff	lake env lean #print axioms output in session shell 147	only propext, Classical.choice, and Quot.sound
2026-08-21T01:02:57Z	axiom-audit	persisted the exported-theorem axiom audit as a session artifact	the earlier shell reference was not durable enough for review	/root/.copilot/session-state/8c2f48a2-8523-43ed-ae57-7bce6e511df0/files/axiom-audit.txt	only propext, Classical.choice, and Quot.sound
2026-08-21T01:15:22Z	review-fix	expanded the proof boundary to initialization, preservation, and temporal-safety obligations	the reviewer correctly noted that FullInductivenessObligation alone could not produce the requested final theorem	lean/CCFRaft/Properties.lean:126, lean/CCFRaft.lean	boundary now explicit; obligations remain unproved
2026-08-21T01:15:22Z	review-fix	softened forgedAck claims and removed the unlinked ghost field	the checked theorems do not prove unreachability, and Nonempty GhostState carried no causal relation	lean/CCFRaft/Simulation.lean:140, lean/CCFRaft/Properties.lean:111	fixture no longer claims a protocol defect or proved unreachability
2026-08-21T01:15:22Z	review-fix	added configuration-order and message-channel representation invariants	the list-map and per-pair queue projections need explicit well-formedness before preservation can quantify over arbitrary states	lean/CCFRaft/Properties.lean:88	initialization and preservation pending
2026-08-21T01:15:22Z	review-fix	embedded #print axioms commands in Proofs.lean	the axiom audit is now rerunnable from the repository at the pinned toolchain	lean/CCFRaft/Proofs.lean:321, lake build CCFRaft	build prints only propext, Classical.choice, and Quot.sound
2026-08-21T01:15:22Z	review-fix	corrected the 15-node attribution and narrowed the table to the user-required properties	Fin 15 comes from the task, while MCccfraft.cfg selects OrderedNoDup and a different model-checking server wrapper	lean/CCFRaft/Model.lean:7, lean/CCFRaft.lean	scope wording corrected
2026-08-23T16:54:55Z	replay	reduced the disjoint configuration replay from 309 to 229 enabled actions	removed repeated client entries, unnecessary follower heartbeats, and replication beyond the quorum needed for each commit	lean/CCFRaft/Simulation.lean:82, lean/CCFRaft/Simulation.lean:130	fullReplayActionCount_is_229 proved
2026-08-23T16:54:55Z	execution	replaced function-valued per-node storage with fixed NodeMap vectors	generated C showed update closures rebuilding vectors on every lookup; NodeMap stores each vector once while preserving state.field node syntax	lean/CCFRaft/Model.lean:37, lean/CCFRaft/Model.lean:132	existing proofs and canonical target green
2026-08-23T16:54:55Z	replay	ran the full compiled 229-action 5-to-5-to-5 replay	compiled execution now validates every enabled action and expected stage state	lake exe ccfraft-sim, shell 206 output artifact /tmp/1787503968563-copilot-tool-output-26288-82eac2a9-8424-4233-9348-6f893c699eea.txt	all four stages passed
2026-08-23T16:54:55Z	proof-stage	proved MessagesWellFormedInv initially and across every action	the per-pair OrderedNoDup projection now has a preserved source/destination representation invariant	lean/CCFRaft/Proofs.lean:44, lean/CCFRaft/Proofs.lean:171, lake build CCFRaft	proof checkpoint green
2026-08-23T17:03:39Z	proof-stage	proved every StateSafety component and all representation invariants in the literal initial state	this closes InitialInductiveInvariantObligation and leaves only action preservation plus temporal safety	lean/CCFRaft/Proofs.lean:17, lean/CCFRaft/Proofs.lean:158, lake build CCFRaft	initial inductive bundle green
2026-08-23T17:03:39Z	verification	reran the compiled 229-action disjoint replay after the initialization proofs	proof additions and NodeMap representation must not change executable behavior	lake exe ccfraft-sim, shell 222	all four stages passed
2026-08-23T17:14:28Z	proof-stage	proved ConfigurationsWellFormedInv across every action	ordered upsert, override, filtering, rollback, and overlapping AppendEntries now preserve unique increasing indices bounded by the local log	lean/CCFRaft/Proofs.lean:224, lean/CCFRaft/Proofs.lean:760, lean/CCFRaft/Proofs.lean:1028	proof checkpoint green
2026-08-23T17:14:28Z	verification	reran the canonical build and compiled 229-action replay after configuration preservation	the proof lemmas cover the same rollback and reconfiguration paths exercised by replay	lake build CCFRaft and lake exe ccfraft-sim, shell 242	build and all replay stages passed
2026-08-23T17:19:06Z	refactor	replaced duplicated updateNode same/different lemmas with one updateNode_apply equation	all action proofs now share the executable map update semantics instead of reopening vector details	lean/CCFRaft/Model.lean:171, lean/CCFRaft/Proofs.lean:1190, lake build CCFRaft	refactor build and replay green
2026-08-23T17:40:42Z	proof-stage	proved MonoTermInv across every enabled action	the proof checks RequestVote and AppendEntries sends, all receive/drop paths, and the NACK branch that reuses StartTerm or a log term	lean/CCFRaft/Proofs.lean:1180, lean/CCFRaft/Proofs.lean:1318, lean/CCFRaft/Proofs.lean:1430	proof checkpoint green
2026-08-23T17:40:42Z	proof-design	added NoLeaderBeforeInitialTermInv and LogTermsAtLeastStartInv to the inductive bundle	the literal NACK StartTerm response needs an explicit minimum-term argument rather than an assumed current-term response	lean/CCFRaft/Properties.lean:126, lean/CCFRaft/Proofs.lean:59	initialization proved; preservation pending
2026-08-23T17:43:02Z	refactor	replaced six action-specific MonoTerm reply proofs with monoTerm_of_reply	one before/after helper now owns message replacement and unchanged-term reasoning for every response handler	lean/CCFRaft/Proofs.lean:1190, lean/CCFRaft/Proofs.lean:1510	109 lines removed; build and replay green
2026-08-23T19:06:11Z	proof-stage	proved MinimumTermInv across every enabled action	active roles, message terms, AppendEntries payloads, and local logs now preserve the literal StartTerm lower bound	lean/CCFRaft/Properties.lean:126, lean/CCFRaft/Proofs.lean:2340, lean/CCFRaft/Proofs.lean:3170	proof checkpoint green, uncommitted by user request
2026-08-23T19:06:11Z	proof-stage	proved reachable SignatureInv plus CommittedLogAppendOnlyProp and NeverCommitEntryPrevTermsProp for reachable steps	generic signature-index folds connect the executable commit scans to kernel-checked signature and temporal safety	lean/CCFRaft/Proofs.lean:3200, lean/CCFRaft/Proofs.lean:3650, lean/CCFRaft/Proofs.lean:4480	transition safety obligation closed
2026-08-23T19:06:11Z	proof-stage	proved LeaderLogBoundaryInv across every action and MonoLogInv preservation from pending AppendEntries log safety	leader appends are locally inductive; follower replication now consumes one explicit causal message obligation	lean/CCFRaft/Properties.lean:158, lean/CCFRaft/Proofs.lean:3400, lean/CCFRaft/Proofs.lean:4300	proof green; AppendEntriesLogSafetyInv preservation remains open
2026-08-23T19:06:11Z	verification	built canonical CCFRaft and reran the compiled 229-action replay after expanded safety proofs	the executable path must remain aligned with the proof relation after representation and invariant changes	lake build CCFRaft shell 382; lake exe ccfraft-sim shell 384	build and all replay stages passed
2026-08-23T19:14:23Z	review-fix	superseded stale resumed-proof line citations with stable theorem names	the independent reviewer found no blocking issue but noted that line numbers had moved during proof growth	CCFRaft.Proofs.reachable_SignatureInv, CCFRaft.Proofs.reachable_CommittedLogAppendOnlyProp, CCFRaft.Proofs.minimumTerm_step, CCFRaft.Proofs.monoLog_step	claims resolve by symbol; no blocking findings
2026-08-23T19:14:23Z	review-fix	added leaderLogBoundary_step and monoLog_step to the embedded axiom audit	newly advertised preservation theorems need the same reproducible audit as exported reachable results	lean/CCFRaft/Proofs.lean #print axioms commands	reviewer found only propext, Classical.choice, and Quot.sound
2026-08-23T19:31:51Z	proof-architecture	replaced state-only completion with history-indexed safety	candidate, vote, and message provenance cannot be recovered from a single arbitrary state	vacuousElection_enabled and vacuousElection_after_not_oneLeader are kernel checked; lake build +CCFRaft.Simulation	countermodel classified as inductiveness-only; HistoricalSafetyObligation now uses authoritative Reachable history
2026-08-23T19:38:39Z	proof-contract	made transition safety depend on StateSafety	the historical completion theorem must supply the premise consumed by temporal preservation	transitionSafetyObligation uses only safety.signatures; lake build +CCFRaft.Proofs	FullSafetyCompletionObligation now composes
2026-08-23T19:38:39Z	countermodel	treat pending AppendEntries predicates as derived causal facts	forged request/ACK states can satisfy current one-state fields before UpdateTerm or rollback and violate them afterwards	independent kernel-checked review of StateOnlyInductivenessAttempt and AppendEntriesResponseBoundInv	do not pursue one-state preservation; add request/response occurrence certificates
2026-08-23T19:41:49Z	proof-stage	added exact action occurrence and queue-origin histories	delayed messages need stable insertion witnesses that survive unrelated later transitions	ProtocolHistory/Replays is equivalent to Reachable; reachable_hasCausalHistory proves every queued message has an exact first-enqueue occurrence; lake build +CCFRaft.Proofs	generic causal queue layer is kernel checked
2026-08-23T22:18:28Z	proof-stage	proved exact configuration projection and public configuration consistency	active configurations are a deterministic projection of local log reconfiguration entries and the commit boundary	reachable_ConfigurationsExactInv and reachable_LogConfigurationConsistentInv; lake build +CCFRaft.Simulation	required LogConfigurationConsistentInv closed
2026-08-23T22:18:28Z	proof-stage	added causal vote, leader, ACK, and match-index histories	delayed messages and volatile indices require persistent event and owner witnesses rather than arbitrary-state bounds	reachable_HasVoteHistory, reachable_hasLeaderHistory, reachable_hasSuccessfulAckHistory, reachable_hasMatchIndexHistory	causal history layers kernel checked
2026-08-23T22:18:28Z	proof-stage	derived pending AppendEntries log safety from historical snapshots	sender snapshot MonoLog plus temporal log matching transfers the exact accepted prefix to the receiver	protocolHistory_implies_AppendEntriesLogSafetyInv	AppendEntriesLogSafetyInv is now a derived historical lemma
2026-08-24T07:55:13Z	counterexample	classified matchIndex <= sentIndex as reachable-false	a delayed old NACK can lower sentIndex before a newer current-term success ACK raises matchIndex	Simulation.reachable_matchIndex_gt_sentIndex; 73-action compiled replay	do not use LeaderIndexInv as a reachable invariant
2026-08-24T07:55:13Z	counterexample	restricted acknowledged-prefix retention to current-term ACKs	a previously acknowledged uncommitted prefix may be overwritten after later-term elections	Simulation.reachable_oldTermAckPrefix_overwritten; 70-action compiled replay	old-term witness retention is reachable-false
2026-08-24T07:55:13Z	proof-stage	built conditional historical election and log cores	causal vote ownership, entry origins, candidate overlap, leader frontier, and temporal log matching now compose	Proofs.reachable_hasHistoricalFullElectionLogCore and conditional reachable public theorems	remaining election gap is three concrete quorum-formation overlap obligations
2026-08-24T07:55:13Z	proof-stage	replaced universal ACK retention with a canonical current-match witness	only one retained current-term witness is needed for the current numeric match index	Proofs.reachable_hasCurrentMatchIndexPrefixHistory and reachable_MatchIndexBoundedByLogInv_of_formationOverlaps	public match-index bound no longer needs an ACK-retention assumption
2026-08-25T08:15:47Z	proof-design	split committed boundary evidence from later choice evidence	an AdvanceCommitIndex in a later term may commit an earlier-term signature, so one term and one prefix were unsound	Properties.ChosenCommitCertificate boundaryTerm/choiceTerm and chosenPrefix/choiceIndexPrefix fields	two-prefix certificate model builds
2026-08-25T08:15:47Z	proof-stage	proved the hereditary chosen-commit core across every enabled action	AdvanceCommitIndex constructs causal watermark certificates and follower commits transport the sender certificate	Proofs.historicalCompleteSafetyCore_append_step and protocolHistory_implies_HistoricalCompleteSafetyCore	no formation or commit assumptions remain
2026-08-25T08:15:47Z	proof-stage	proved every requested reachable-state invariant and enabled-step property	the complete safety core derives election, log, configuration, signature, quorum, replication, and match-index safety	Proofs.protocolHistory_implies_StateSafety, reachable_StateSafety, reachable_CCFRaftSafety	final safety theorem kernel checked
2026-08-25T08:44:52Z	verification	built canonical CCFRaft and ran every compiled replay after the final proof export	the final source and executable semantics must agree after the chosen-certificate and history refactors	lake build CCFRaft; lake exe ccfraft-sim; copyright, comment-marker, diff, and forbidden-proof checks	all checks passed; final theorem axioms are propext, Classical.choice, and Quot.sound
2026-08-25T08:44:52Z	review	fixed the independent review finding in the Proofs header	the old text referenced a refuted state-only inductiveness route	Proofs.lean module header now describes exact histories and the hereditary chosen-commit core	no remaining high-confidence review findings
2026-08-26T20:34:03Z	model-data	replaced Fin 15 with materialized Nat node identifiers	configurations can now introduce arbitrary fresh IDs without reserving a fixed world	Model.State.nodes, Node := Nat, ChangeConfiguration node union	dynamic node universe builds
2026-08-26T20:34:03Z	model-data	used a stable base function plus bounded overrides for NodeMap	this keeps sparse arbitrary IDs cheap and avoids closure chains on ordinary protocol updates	Model.NodeMap base/entries, set, setMany	pointwise simp API and compiled replay preserved
2026-08-26T20:34:03Z	semantics	parameterized trusted genesis with InitialConfiguration	a multi-node initial configuration must already satisfy signature, quorum, and replication safety	Model.InitialConfiguration and initialState seed every initial node with the same committed genesis prefix	1-, 3-, and 5-node genesis states are executable and proved safe
2026-08-26T20:34:03Z	proof-stage	generalized every reachable-state theorem to dynamic Nat nodes	the codemod threaded InitialConfiguration through exact histories while manual proofs handled multi-node genesis and finite maxima	scripts/generalize-initial-configuration.py; Proofs.reachable_CCFRaftSafety	final safety theorem remains unconditional
2026-08-26T20:34:03Z	verification	built and replayed the dynamic canonical target	the generalized execution must preserve the old safety scenarios and demonstrate IDs beyond the old limit	lake build CCFRaft; lake exe ccfraft-sim; dynamic nodes 16 and 17	all replays passed; final theorem axioms unchanged
